LineNum,Total.Count,Brand Name,Brand.Name.NumSyllables ,Count,Generic Name,Generic.Name.NumSyllables,Count2,NewRatio,Type,RatioForSort,Category,Patient,Category2,proportion,CI.lowerbound,CI.upperbound,Ratio.upperbound,Ratio.lowerbound,Generic Cost,Trademark cost,ApprovalDate,OnPatent,AverageWholeSaleUnitPrice,ColorText,,
1,20,Entresto,3,19,Sacubitril/valsartan,7,1,9999,Nursing,19,ARNI/ARB,1,Heart Failure,0.05,-0.045518585,0.145518585,-22.96904867,5.871974483,1.37,3,7/7/2015,1,9.25,2,,
1,20,Entresto,3,19,Sacubitril/valsartan,7,1,19,Overall,19,ARNI/ARB,1,Heart Failure,0.05,-0.045518585,0.145518585,-22.96904867,5.871974483,1.37,3,7/7/2015,1,9.25,2,,
1,20,Entresto,3,19,Sacubitril/valsartan,7,1,10,Pharmacy,19,ARNI/ARB,1,Heart Failure,0.05,-0.045518585,0.145518585,-22.96904867,5.871974483,1.37,3,7/7/2015,1,9.25,2,,
1,287,Eliquis,3,103,Apixaban,4,184,1.916666667,Nursing,0.559782609,Anticoagulant,1,Arrythmia,0.641114983,0.585619102,0.696610864,0.707594573,0.435521684,0.98,,12/28/2012,1,8.38,2,,
1,287,Eliquis,3,103,Apixaban,4,184,0.559782609,Overall,0.559782609,Anticoagulant,1,Arrythmia,0.641114983,0.585619102,0.696610864,0.707594573,0.435521684,0.98,,12/28/2012,1,8.38,2,,
1,287,Eliquis,3,103,Apixaban,4,184,0.322580645,Pharmacy,0.559782609,Anticoagulant,1,Arrythmia,0.641114983,0.585619102,0.696610864,0.707594573,0.435521684,0.98,,12/28/2012,1,8.38,2,,
1,89,Brilinta,3,44,Ticagrelor,4,45,1.285714286,Nursing,0.977777778,DAPT,1,Coronary Artery Disease,0.505617978,0.401744743,0.609491212,1.489142716,0.640712745,#N/A,,7/20/2011,1,7.0584,2,,
1,89,Brilinta,3,44,Ticagrelor,4,45,0.977777778,Overall,0.977777778,DAPT,1,Coronary Artery Disease,0.505617978,0.401744743,0.609491212,1.489142716,0.640712745,#N/A,,7/20/2011,1,7.0584,2,,
1,89,Brilinta,3,44,Ticagrelor,4,45,0.428571429,Pharmacy,0.977777778,DAPT,1,Coronary Artery Disease,0.505617978,0.401744743,0.609491212,1.489142716,0.640712745,#N/A,,7/20/2011,1,7.0584,2,,
1,195,Tikosyn,3,94,Dofetilide,4,101,1.423076923,Nursing,0.930693069,Antiarrythmic,,Arrythmia,0.517948718,0.447814692,0.588082744,1.233066528,0.700440985,1.28,,7/11/2011,1,9.7435,2,,
